provincia,municipio,distrito_municipal,recinto_nombre,recinto_direccion,sector,colegios_lista
ESTADOS UNIDOS,OCLEE ORLANDO,IGLESIA EPISCOPAL SAN CRISTOBAL,"7500 FOREST CITY RD, ORLANDO, FL 32810",1205,,
ESTADOS UNIDOS,OCLEE ORLANDO,IGLESIA EPISCOPAL SAN CRISTOBAL,"7500 FOREST CITY RD, ORLANDO, FL 32810",1206,,
ESTADOS UNIDOS,OCLEE ORLANDO,MAXI TAX SERVICES,"3167 SPRING PARK RD, JACKSONVILLE, FL 32207",1207,,
ESTADOS UNIDOS,OCLEE ORLANDO,MAXI TAX SERVICES,"3167 SPRING PARK RD, JACKSONVILLE, FL 32207",1208,,
ESTADOS UNIDOS,OCLEE ORLANDO,MAXI TAX SERVICES,"3167 SPRING PARK RD, JACKSONVILLE, FL 32207",1209,,
ESTADOS UNIDOS,OCLEE ORLANDO,ST JOHN'S EPISCOPAL CHURCH,"1709 N JOHN YOUNG PKWY, KISSIMMEE, FL, UNITED STATES, FLORIDA",1210,,
ESTADOS UNIDOS,OCLEE ORLANDO,ST JOHN'S EPISCOPAL CHURCH,"1709 N JOHN YOUNG PKWY, KISSIMMEE, FL, UNITED STATES, FLORIDA",1211,,
ESTADOS UNIDOS,OCLEE ORLANDO,ST JOHN'S EPISCOPAL CHURCH,"1709 N JOHN YOUNG PKWY, KISSIMMEE, FL, UNITED STATES, FLORIDA",1212,,
ESTADOS UNIDOS,OCLEE ORLANDO,ST JOHN'S EPISCOPAL CHURCH,"1709 N JOHN YOUNG PKWY, KISSIMMEE, FL, UNITED STATES, FLORIDA",1213,,
ESTADOS UNIDOS,OCLEE ORLANDO,ST JOHN'S EPISCOPAL CHURCH,"1709 N JOHN YOUNG PKWY, KISSIMMEE, FL, UNITED STATES, FLORIDA",1214,,
ESTADOS UNIDOS,OCLEE ORLANDO,ST JOHN'S EPISCOPAL CHURCH,"1709 N JOHN YOUNG PKWY, KISSIMMEE, FL, UNITED STATES, FLORIDA",1215,,
ESTADOS UNIDOS,OCLEE ORLANDO,ST PETERSBURG COLLEGE - SPC,"244 2ND AVENUE N. ST. PETERSBURG, FL 33701",1216,,
ESTADOS UNIDOS,OCLEE ORLANDO,ST PETERSBURG COLLEGE - SPC,"244 2ND AVENUE N. ST. PETERSBURG, FL 33701",1217,,
ESTADOS UNIDOS,OCLEE ORLANDO,ST PETERSBURG COLLEGE - SPC,"244 2ND AVENUE N. ST. PETERSBURG, FL 33701",1218,,
ESTADOS UNIDOS,OCLEE ORLANDO,UNIVERSIDAD ANA G. MENDEZ,"5601 SOUTH SEMORAN BLVD. SUITE 55, ORLANDO, FL 32822",1219,,
ESTADOS UNIDOS,OCLEE ORLANDO,UNIVERSIDAD ANA G. MENDEZ,"5601 SOUTH SEMORAN BLVD. SUITE 55, ORLANDO, FL 32822",1220,,
ESTADOS UNIDOS,OCLEE ORLANDO,UNIVERSIDAD ANA G. MENDEZ,"5601 SOUTH SEMORAN BLVD. SUITE 55, ORLANDO, FL 32822",1221,,
ESTADOS UNIDOS,OCLEE ORLANDO,UNIVERSIDAD ANA G. MENDEZ,"5601 SOUTH SEMORAN BLVD. SUITE 55, ORLANDO, FL 32822",1222,,
ESTADOS UNIDOS,OCLEE ORLANDO,UNIVERSIDAD ANA G. MENDEZ,"5601 SOUTH SEMORAN BLVD. SUITE 55, ORLANDO, FL 32822",1223,,
ESTADOS UNIDOS,OCLEE ORLANDO,UNIVERSIDAD ANA G. MENDEZ,"5601 SOUTH SEMORAN BLVD. SUITE 55, ORLANDO, FL 32822",1224,,
ESTADOS UNIDOS,OCLEE ORLANDO,UNIVERSIDAD ANA G. MENDEZ,"5601 SOUTH SEMORAN BLVD. SUITE 55, ORLANDO, FL 32822",1225,,
